,Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
13793,"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",8331,Manga,?,Sep 2018 -,8742,https://myanimelist.net/manga/119656/Chichi_wa_Eiyuu_Haha_wa_Seirei_Musume_no_Watashi_wa_Tenseisha,https://cdn.myanimelist.net/r/100x140/images/manga/3/221517.jpg?s=75d78a98a4ca2cd111b275d126ba68e5,7.01
13794,Ao Haru Ride: Special Booklet,3464,One-shot,?,May 2014 - May 2014,4653,https://myanimelist.net/manga/77237/Ao_Haru_Ride__Special_Booklet,https://cdn.myanimelist.net/r/100x140/images/manga/3/133539.jpg?s=176e26a20b0283d226e4f3c4659251f1,7.42
13795,Kasou Ryouiki no Elysion,11118,Light-Novel,3,Dec 2013 - Jul 2014,870,https://myanimelist.net/manga/63515/Kasou_Ryouiki_no_Elysion,https://cdn.myanimelist.net/r/100x140/images/manga/1/163378.jpg?s=88b185ce5bb311bc2bc1922ea49ac0c4,6.81
13796,Onaidoshi no Oneesan,17370,One-shot,?,Jan 2014 - Jan 2014,316,https://myanimelist.net/manga/71221/Onaidoshi_no_Oneesan,https://cdn.myanimelist.net/r/100x140/images/manga/2/122621.jpg?s=e581c32736519a830fed9a7d879433b2,5.96
13797,Watashi no Shiawase na Kekkon,754,Manga,?,Dec 2018 -,11823,https://myanimelist.net/manga/118232/Watashi_no_Shiawase_na_Kekkon,https://cdn.myanimelist.net/r/100x140/images/manga/2/223940.jpg?s=0cc4388e961071da2f5dca5f08fc3aa6,7.98
13798,Setsunai Himitsu,13091,Manga,1,Mar 2008 -,400,https://myanimelist.net/manga/23108/Setsunai_Himitsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/37872.jpg?s=739ede1c3608c734ea6e5f0a8f869a03,6.66
13799,Red Hood,15831,Manga,3,Jun 2021 - Nov 2021,17521,https://myanimelist.net/manga/137812/Red_Hood,https://cdn.myanimelist.net/r/100x140/images/manga/1/251919.jpg?s=acd71e83a499860adeb2db5f0cf233bc,6.39
13800,Ningen Deshita,8615,Manga,1,Dec 2013 - Apr 2014,883,https://myanimelist.net/manga/65663/Ningen_Deshita,https://cdn.myanimelist.net/r/100x140/images/manga/3/128615.jpg?s=77d2b5d6837f07efbf326c87c9138296,6.99
13801,Utsukushii Inu,17800,Manga,2,Dec 2016 - Aug 2017,400,https://myanimelist.net/manga/106197/Utsukushii_Inu,https://cdn.myanimelist.net/r/100x140/images/manga/2/197083.jpg?s=43856417067cbe0af66b92474af55743,5.25
13802,Kaguhara-san no Feti Note,3105,Manga,?,Oct 2021 -,1891,https://myanimelist.net/manga/149000/Kaguhara-san_no_Feti_Note,https://cdn.myanimelist.net/r/100x140/images/manga/3/271847.jpg?s=02e4c06728c3663ef73c569d60734adf,7.46
13803,Araburu Kisetsu no Otome-domo yo.,3845,Manga,8,Dec 2016 - Sep 2019,10599,https://myanimelist.net/manga/102564/Araburu_Kisetsu_no_Otome-domo_yo,https://cdn.myanimelist.net/r/100x140/images/manga/3/193441.jpg?s=3d9190a3c5ee00ff175e3cb116006047,7.37
13804,Color Recipe Clear,12425,One-shot,?,May 2019 - May 2019,325,https://myanimelist.net/manga/121046/Color_Recipe_Clear,https://cdn.myanimelist.net/r/100x140/images/manga/3/248942.jpg?s=c66d4aaf90380c64ee4dd62d3608b48b,6.71
13805,Mahou Shoujo Lyrical Nanoha ViVid,2007,Manga,20,May 2009 - Oct 2017,3479,https://myanimelist.net/manga/14238/Mahou_Shoujo_Lyrical_Nanoha_ViVid,https://cdn.myanimelist.net/r/100x140/images/manga/3/202273.jpg?s=f1df1baebc46369ec77414f27f90c760,7.63
13806,Reki Yomi,5883,Manga,3,May 2018 - Jun 2020,828,https://myanimelist.net/manga/121326/Reki_Yomi,https://cdn.myanimelist.net/r/100x140/images/manga/1/221010.jpg?s=8995c5f8a01ec96cf1239cca2aae623d,7.19
13807,Kouya no Hanayome,16012,Manga,3,Feb 2017 - Oct 2019,616,https://myanimelist.net/manga/104963/Kouya_no_Hanayome,https://cdn.myanimelist.net/r/100x140/images/manga/1/206306.jpg?s=18fbc61d4daa7cd0005aff7596a8fbba,6.36
13808,Rokudenashi Blues,1618,Manga,42,May 1988 - Feb 1997,8858,https://myanimelist.net/manga/4444/Rokudenashi_Blues,https://cdn.myanimelist.net/r/100x140/images/manga/2/184928.jpg?s=306e9017911822327ca1f9891d67304b,7.71
13809,Ruriiro de Kimi wo Kazatte,10658,Manga,1,Jun 2020 - Feb 2021,257,https://myanimelist.net/manga/142167/Ruriiro_de_Kimi_wo_Kazatte,https://cdn.myanimelist.net/r/100x140/images/manga/3/252854.jpg?s=5d695074400107ac349176b16548c654,6.85
13810,Girl's Ride,11569,Manga,1,Nov 2009 - Oct 2012,1286,https://myanimelist.net/manga/23225/Girls_Ride,https://cdn.myanimelist.net/r/100x140/images/manga/2/102893.jpg?s=c45c3e998570cc65199712d293a80e7e,6.78
13811,Kanojo wa Itsumo Kagayaiteita,7381,One-shot,?,Apr 2019 - Apr 2019,433,https://myanimelist.net/manga/121587/Kanojo_wa_Itsumo_Kagayaiteita,https://cdn.myanimelist.net/r/100x140/images/manga/2/234765.jpg?s=3dffa4e05b0d6a5e3946fadd8633ee72,7.08
13812,Bokura no Yukue wa,8612,Manga,1,Sep 2010 - Aug 2013,1923,https://myanimelist.net/manga/62755/Bokura_no_Yukue_wa,https://cdn.myanimelist.net/r/100x140/images/manga/1/107659.jpg?s=e2b0fa19aef374cc93265494cd2184cc,6.99
13813,Yoru Café,4845,Manga,3,2008 -,4303,https://myanimelist.net/manga/8161/Yoru_Café,https://cdn.myanimelist.net/r/100x140/images/manga/4/116695.jpg?s=8ed75b8939731d66e8469dbdaabd58f3,7.28
13814,Ruby Blood,16408,Manga,1,Feb 2006 - Feb 2006,287,https://myanimelist.net/manga/14676/Ruby_Blood,https://cdn.myanimelist.net/r/100x140/images/manga/2/21057.jpg?s=8a12d82aec9066f1cc83bf6fc8bc05bb,6.29
13815,Netsu Shisen,9103,Manga,1,-,1115,https://myanimelist.net/manga/2933/Netsu_Shisen,https://cdn.myanimelist.net/r/100x140/images/manga/3/3158.jpg?s=81ae6844d1aa0fe8662f6a4759ac21a5,6.96
13816,Monkey Strip,15865,Manga,1,2005 - 2011,554,https://myanimelist.net/manga/9645/Monkey_Strip,https://cdn.myanimelist.net/r/100x140/images/manga/1/209215.jpg?s=544b428b7f42231bff5b46a6a2c62efe,6.38
13817,Skirt.,17667,One-shot,?,Jul 2011 - Jul 2011,360,https://myanimelist.net/manga/33945/Skirt,https://cdn.myanimelist.net/r/100x140/images/manga/1/61849.jpg?s=85739d2f08be29822ed9d8a3ce81538c,5.66
13818,Fenrir-neesan to Boku,16057,Manga,3,Jan 2018 - Jan 2019,1185,https://myanimelist.net/manga/112264/Fenrir-neesan_to_Boku,https://cdn.myanimelist.net/r/100x140/images/manga/3/210732.jpg?s=1b925fffe3f4000093b4d7b0f6f0c3d4,6.35
13819,Wareware wa Neko de Aru,9736,Manga,1,Oct 2013 - Jul 2016,384,https://myanimelist.net/manga/120395/Wareware_wa_Neko_de_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/1/239751.jpg?s=e4278250caff2eac1f1688cb9905b57b,6.91
13820,Ookami-tachi no Gohoubi,14553,Manga,1,Jul 2008 - Sep 2008,621,https://myanimelist.net/manga/12742/Ookami-tachi_no_Gohoubi,https://cdn.myanimelist.net/r/100x140/images/manga/3/179891.jpg?s=8f717e8ef9b6ede2499489fc61df43b6,6.53
13821,Tales of Xillia: Side;Milla,9394,Manga,5,Sep 2011 - May 2014,1842,https://myanimelist.net/manga/28027/Tales_of_Xillia__Side_Milla,https://cdn.myanimelist.net/r/100x140/images/manga/2/121371.jpg?s=4c2af41ac579aa0b2a5d6f8a9f91a944,6.94
13822,Kyosei Tensei,17552,Manga,6,Sep 2019 - Jan 2023,2410,https://myanimelist.net/manga/133434/Kyosei_Tensei,https://cdn.myanimelist.net/r/100x140/images/manga/1/240795.jpg?s=fc823debba4411b29452f44f1d798a81,5.81
13823,Hotel Harbour View,16632,Manga,1,1985 - 1985,1974,https://myanimelist.net/manga/8951/Hotel_Harbour_View,https://cdn.myanimelist.net/r/100x140/images/manga/2/12207.jpg?s=3d9aa81ba39b63833e8b6324881bb17d,6.24
13824,"Seiya, Mayoeru Kohitsuji ni",16650,One-shot,?,Nov 2010 - Nov 2010,760,https://myanimelist.net/manga/56569/Seiya_Mayoeru_Kohitsuji_ni,https://cdn.myanimelist.net/r/100x140/images/manga/4/111247.jpg?s=06567b45fdfd86f1d9769b84e1df7dca,6.24
13825,Sanjin Sadou,14919,Manga,2,Sep 2002 - May 2004,960,https://myanimelist.net/manga/17909/Sanjin_Sadou,https://cdn.myanimelist.net/r/100x140/images/manga/2/260804.jpg?s=e7299edbf9f703cc704f54c6280bd96e,6.5
13826,Yumi to Kurumi,2524,Manga,1,Jul 2018 - Oct 2018,1815,https://myanimelist.net/manga/115816/Yumi_to_Kurumi,https://cdn.myanimelist.net/r/100x140/images/manga/2/222806.jpg?s=ce50e7d7c7fe636737f7436532eec6ec,7.54
